chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
chr1	58603024	58622409	5.1085	2	0.6608	0.7552	DUP	DUP	BAF_WEIGHTED	18	0.4298	58603024	58603024	1.2508	3.8577
chr1	58622410	71617676	4.4299	6591	0.5422	0.5478	DUP	DEL	BAF_WEIGHTED	12280	0.3911	58622410	58622410	2.0034	2.4265
chr1	71617677	71705083	3.0748	3	0.5938	0.6853	DEL	DEL	BAF_WEIGHTED	86	0.3447	71617677	71617677	0.9676	2.1072
chr1	71705084	72037553	4.2426	69	0.5484	0.5826	DEL	DEL	BAF_WEIGHTED	318	0.3520	71705084	71705084	1.7707	2.4718
chr1	72037554	72085434	3.5231	37	0.5484	0.5896	DEL	DEL	BAF_WEIGHTED	47	0.3338	72037554	72037554	1.4458	2.0773
chr1	72085435	72218449	4.2256	89	0.5499	0.5846	DEL	DEL	BAF_WEIGHTED	132	0.3347	72085435	72085435	1.7553	2.4703
chr1	72218450	97976823	3.3246	12959	0.6034	0.6964	DEL	DEL	BAF_WEIGHTED	23812	0.3776	72218450	72218450	1.0094	2.3152
chr1	97976824	97977013	2.6544	0	0.0000	0.8722	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	97976824	97976824	0.3393	2.3152
chr1	97977014	100488882	3.2497	807	0.6028	0.6978	DEL	BND	BAF_WEIGHTED	2381	0.3708	97977014	97977014	0.9821	2.2676
chr1	100488883	110553521	3.6352	5296	0.5698	0.6277	BND	BND	BAF_WEIGHTED	9041	0.3770	100488883	100488883	1.3534	2.2818
chr1	110553522	110643955	7.6118	52	0.6466	0.7044	BND	SGL	BAF_WEIGHTED	86	0.4688	110553522	110553522	2.2497	5.3621
chr1	110643956	110907555	3.8715	182	0.5625	0.6110	SGL	BND	BAF_WEIGHTED	238	0.3979	110643956	110643956	1.5058	2.3656
chr1	110907556	111136590	4.4087	85	0.5425	0.5463	BND	DEL	BAF_WEIGHTED	209	0.3755	110907556	110907556	2.0002	2.4085
chr1	111136591	112964564	3.8935	1332	0.5732	0.6295	DEL	DEL	BAF_WEIGHTED	1705	0.4308	111136591	111136591	1.4427	2.4508
chr1	112964565	113412348	4.5049	291	0.5492	0.5693	DEL	DEL	BAF_WEIGHTED	423	0.4174	112964565	112964565	1.9401	2.5648
chr1	113412349	115690169	4.2976	1394	0.5561	0.5952	DEL	DEL	BAF_WEIGHTED	2144	0.4056	113412349	113412349	1.7396	2.5580
chr1	115690170	123605522	5.1199	2429	0.5452	0.5550	DEL	CENTROMERE	BAF_WEIGHTED	3927	0.4064	115690170	115690170	2.2785	2.8415
chr1	123605523	145984082	4.9979	104	0.5406	0.5483	CENTROMERE	INV	BAF_WEIGHTED	278	0.4464	123605523	123605523	2.2574	2.7404
chr1	145984083	145992713	5.3423	5	0.5067	0.5483	INV	INV	BAF_WEIGHTED	7	0.4520	145984083	145984083	2.4130	2.9293
chr1	145992714	148711000	6.5145	1204	0.5495	0.5724	INV	NONE	BAF_WEIGHTED	905	0.4180	145992714	145992714	2.7854	3.7291
chr1	148711001	150234131	8.2012	90	0.5604	0.5824	NONE	DEL	BAF_WEIGHTED	350	0.4265	148436001	148986001	3.4246	4.7766
chr1	150234132	150384692	6.9752	115	0.5364	0.5483	DEL	DEL	BAF_WEIGHTED	147	0.4566	150234132	150234132	3.1505	3.8246
chr1	150384693	152081949	7.4798	522	0.5390	0.5351	DEL	INV	BAF_WEIGHTED	1611	0.4494	150384693	150384693	3.4773	4.0025
chr1	152081950	152082780	5.4271	0	0.0000	0.7375	INV	BND	STRUCTURAL_VARIANT	0	0.0000	152081950	152081950	1.4245	4.0025
chr1	152082781	152128190	7.6816	4	0.5464	0.5207	BND	INV	BAF_WEIGHTED	41	0.4103	152082781	152082781	3.6816	4.0000
chr1	152128191	152583000	6.2991	273	0.5714	0.6054	INV	NONE	BAF_WEIGHTED	375	0.4040	152128191	152128191	2.4856	3.8135
chr1	152583001	155985090	5.5745	1082	0.6085	0.6673	NONE	DUP	BAF_WEIGHTED	3004	0.4581	152583001	152583001	1.8549	3.7197
chr1	155985091	155993961	7.2528	4	0.6770	0.7503	DUP	DUP	BAF_WEIGHTED	5	0.5154	155985091	155985091	1.8111	5.4417
chr1	155993962	161151278	5.8221	3522	0.6123	0.6700	DUP	DEL	BAF_WEIGHTED	4705	0.4361	155993962	155993962	1.9215	3.9006
chr1	161151279	161151469	5.3239	0	0.0000	0.6374	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	161151279	161151279	1.9307	3.3933
chr1	161151470	166958096	5.8284	3711	0.6114	0.6687	DEL	SGL	BAF_WEIGHTED	5233	0.4045	161151470	161151470	1.9307	3.8977
chr1	166958097	167797898	7.3797	636	0.6734	0.7439	SGL	BND	BAF_WEIGHTED	824	0.4228	166958097	166958097	1.8900	5.4897
chr1	167797899	168663073	7.3193	675	0.6736	0.7448	BND	SGL	BAF_WEIGHTED	809	0.4063	167797899	167797899	1.8682	5.4511
chr1	168663074	175256121	5.7294	3860	0.6098	0.6672	SGL	BND	BAF_WEIGHTED	6100	0.3869	168663074	168663074	1.9065	3.8229
chr1	175256122	175256236	10.5758	0	0.0000	0.8253	BND	SGL	STRUCTURAL_VARIANT	0	0.0000	175256122	175256122	1.8475	8.7283
chr1	175256237	208692778	5.6149	18591	0.6114	0.6710	SGL	SGL	BAF_WEIGHTED	31114	0.3953	175256237	175256237	1.8475	3.7674
chr1	208692779	208692835	8.0760	0	0.0000	0.7712	SGL	DUP	STRUCTURAL_VARIANT	0	0.0000	208692779	208692779	1.8475	6.2285
chr1	208692836	208692965	7.7849	0	0.0000	0.7627	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	208692836	208692836	1.8475	5.9374
chr1	208692966	215370775	5.6517	3285	0.6111	0.6701	DUP	BND	BAF_WEIGHTED	6329	0.4112	208692966	208692966	1.8647	3.7869
chr1	215370776	215376676	6.6143	0	0.0000	0.7181	BND	DEL	BAF_WEIGHTED	5	0.3714	215370776	215370776	1.8647	4.7496
chr1	215376677	218262019	5.5210	1571	0.6091	0.6684	DEL	BND	BAF_WEIGHTED	2788	0.3701	215376677	215376677	1.8309	3.6901
chr1	218262020	218265196	9.9587	0	0.0000	0.8162	BND	BND	BAF_WEIGHTED	2	0.4020	218262020	218262020	1.8309	8.1278
chr1	218265197	218345721	5.4259	23	0.6023	0.6589	BND	DEL	BAF_WEIGHTED	78	0.3836	218265197	218265197	1.8510	3.5749
chr1	218345722	223410950	6.6551	3195	0.6500	0.7175	DEL	DUP	BAF_WEIGHTED	4732	0.3957	218345722	218345722	1.8798	4.7753
chr1	223410951	227356644	7.7901	1267	0.6924	0.7662	DUP	BND	BAF_WEIGHTED	3534	0.4307	223410951	223410951	1.8210	5.9691
chr1	227356645	228101486	6.9873	77	0.6647	0.7355	BND	DEL	BAF_WEIGHTED	593	0.4683	227356645	227356645	1.8485	5.1388
chr1	228101487	228411603	6.4328	28	0.6913	0.7804	DEL	DEL	BAF_WEIGHTED	219	0.5291	228101487	228101487	1.4124	5.0204
chr1	228411604	231943918	6.9202	2388	0.6547	0.7219	DEL	DEL	BAF_WEIGHTED	3269	0.4381	228411604	228411604	1.9246	4.9956
chr1	231943919	233187295	8.5657	779	0.6947	0.7645	DEL	BND	BAF_WEIGHTED	1188	0.4155	231943919	231943919	2.0171	6.5486
chr1	233187296	233188493	10.1744	0	0.0000	0.8157	BND	SGL	STRUCTURAL_VARIANT	0	0.0000	233187296	233187296	1.8752	8.2992
chr1	233188494	237095172	8.7149	3046	0.7118	0.7848	SGL	SGL	BAF_WEIGHTED	3711	0.4233	233188494	233188494	1.8752	6.8396
chr1	237095173	237100698	8.4217	0	0.0000	0.7773	SGL	SGL	BAF_WEIGHTED	4	0.3982	237095173	237095173	1.8752	6.5465
chr1	237100699	237138772	10.4019	26	0.7529	0.8257	SGL	BND	BAF_WEIGHTED	33	0.4382	237100699	237100699	1.8130	8.5890
chr1	237138773	243374652	7.7953	4519	0.6902	0.7634	BND	BND	BAF_WEIGHTED	5574	0.3878	237138773	237138773	1.8447	5.9506
chr1	243374653	244200107	10.9741	163	0.7624	0.8342	BND	DUP	BAF_WEIGHTED	800	0.3985	243374653	243374653	1.8193	9.1548
chr1	244200108	246787676	10.3697	2077	0.6991	0.7566	DUP	BND	BAF_WEIGHTED	2428	0.4254	244200108	244200108	2.5236	7.8461
chr1	246787677	248956422	6.2259	1784	0.5620	0.5919	BND	TELOMERE	BAF_WEIGHTED	1689	0.4034	246787677	246787677	2.5411	3.6849
chr2	1	611961	3.0682	413	0.5875	0.6731	TELOMERE	DUP	BAF_WEIGHTED	540	0.4300	1	1	1.0032	2.0651
chr2	611962	662297	4.0787	84	0.5511	0.5891	DUP	BND	BAF_WEIGHTED	48	0.4469	611962	611962	1.6758	2.4029
chr2	662298	777730	5.1494	59	0.5679	0.6078	BND	DUP	BAF_WEIGHTED	105	0.4396	662298	662298	2.0194	3.1300
chr2	777731	38907321	4.0297	24700	0.5397	0.5090	DUP	DEL	BAF_WEIGHTED	35963	0.4177	777731	777731	1.9784	2.0513
chr2	38907322	39028116	3.3524	20	0.5831	0.6575	DEL	DEL	BAF_WEIGHTED	119	0.3911	38907322	38907322	1.1483	2.2041
chr2	39028117	69839772	4.0346	20386	0.5403	0.5129	DEL	DUP	BAF_WEIGHTED	29279	0.3962	39028117	39028117	1.9651	2.0695
chr2	69839773	69935682	4.8435	73	0.5614	0.5994	DUP	DUP	BAF_WEIGHTED	93	0.3938	69839773	69839773	1.9401	2.9033
chr2	69935683	74240535	4.0547	2304	0.5400	0.5109	DUP	DEL	BAF_WEIGHTED	3876	0.4374	69935683	69935683	1.9831	2.0716
chr2	74240536	74463361	3.5545	8	0.6215	0.7240	DEL	DEL	BAF_WEIGHTED	212	0.4695	74240536	74240536	0.9812	2.5733
chr2	74463362	80225519	3.9934	3956	0.5418	0.5111	DEL	BND	BAF_WEIGHTED	5371	0.3751	74463362	74463362	1.9522	2.0412
chr2	80225520	81580421	5.4295	893	0.5702	0.6092	BND	BND	BAF_WEIGHTED	1301	0.3683	80225520	80225520	2.1217	3.3078
chr2	81580422	84552950	4.2874	2984	0.5405	0.5335	BND	BND	BAF_WEIGHTED	2817	0.3601	81580422	81580422	2.0000	2.2874
chr2	84552951	93139350	4.0563	2367	0.5382	0.5088	BND	CENTROMERE	BAF_WEIGHTED	3082	0.4366	84552951	84552951	1.9925	2.0638
chr2	93139351	102873380	4.8268	3325	0.5524	0.5850	CENTROMERE	SGL	BAF_WEIGHTED	6363	0.4372	93139351	93139351	2.0033	2.8235
chr2	102873381	102873381	5.3243	0	0.0000	0.6237	SGL	SGL	STRUCTURAL_VARIANT	0	0.0000	102873381	102873381	2.0033	3.3210
chr2	102873382	104651000	4.7003	791	0.5522	0.5855	SGL	NONE	BAF_WEIGHTED	1720	0.3700	102873382	102873382	1.9482	2.7521
chr2	104651001	105793000	6.0126	900	0.6098	0.6645	NONE	NONE	BAF_WEIGHTED	1099	0.4285	104651001	104651001	2.0172	3.9954
chr2	105793001	108663253	4.9151	1768	0.5599	0.5964	NONE	BND	BAF_WEIGHTED	2436	0.4025	105793001	105793001	1.9835	2.9316
chr2	108663254	108663254	6.0685	0	0.0000	0.6731	BND	INF	STRUCTURAL_VARIANT	0	0.0000	108663254	108663254	1.9835	4.0850
chr2	108663255	110779486	4.8216	751	0.5556	0.5903	INF	DEL	BAF_WEIGHTED	1202	0.4491	108663255	108663255	1.9752	2.8464
chr2	110779487	111135998	3.8622	193	0.5393	0.5178	DEL	DEL	BAF_WEIGHTED	345	0.4287	110779487	110779487	1.8622	2.0000
chr2	111135999	111152292	4.9664	11	0.5556	0.5892	DEL	DEL	BAF_WEIGHTED	15	0.4146	111135999	111135999	2.0403	2.9261
chr2	111152293	111154079	2.9005	0	0.0000	0.6869	DEL	DEL	BAF_WEIGHTED	1	0.4600	111152293	111152293	0.9080	1.9925
chr2	111154080	112982000	4.8045	986	0.5525	0.5853	DEL	NONE	BAF_WEIGHTED	1126	0.4322	111154080	111154080	1.9925	2.8120
chr2	112982001	113305530	6.1407	369	0.5818	0.6218	NONE	DUP	BAF_WEIGHTED	289	0.4565	112982001	112982001	2.3226	3.8181
chr2	113305531	113368180	7.1686	58	0.5880	0.6249	DUP	DUP	BAF_WEIGHTED	4	0.4390	113305531	113305531	2.6889	4.4796
chr2	113368181	115291516	5.3992	843	0.5840	0.6304	DUP	DUP	BAF_WEIGHTED	1552	0.3844	113368181	113368181	1.9956	3.4036
chr2	115291517	115346181	6.6020	9	0.5377	0.5456	DUP	DUP	BAF_WEIGHTED	49	0.3460	115291517	115291517	3.0000	3.6020
chr2	115346182	118964769	5.4359	2736	0.5835	0.6297	DUP	BND	BAF_WEIGHTED	3359	0.3841	115346182	115346182	2.0132	3.4228
chr2	118964770	120808221	4.8908	1151	0.5541	0.5876	BND	DEL	BAF_WEIGHTED	1743	0.4539	118964770	118964770	2.0171	2.8737
chr2	120808222	120827724	4.4053	16	0.6024	0.6721	DEL	DEL	BAF_WEIGHTED	18	0.5369	120808222	120808222	1.4443	2.9609
chr2	120827725	122966523	4.9487	1290	0.5570	0.5916	DEL	DEL	BAF_WEIGHTED	2049	0.4284	120827725	120827725	2.0208	2.9279
chr2	122966524	123024537	3.8420	112	0.5330	0.5206	DEL	DEL	BAF_WEIGHTED	57	0.3508	122966524	122966524	1.8420	2.0000
chr2	123024538	125732769	4.7227	2302	0.5538	0.5878	DEL	DEL	BAF_WEIGHTED	2563	0.3700	123024538	123024538	1.9467	2.7760
chr2	125732770	125770650	4.0343	21	0.5455	0.5043	DEL	DEL	BAF_WEIGHTED	33	0.3745	125732770	125732770	2.0000	2.0343
chr2	125770651	137377408	4.9910	5771	0.5625	0.5999	DEL	SGL	BAF_WEIGHTED	9221	0.4217	125770651	125770651	1.9971	2.9939
chr2	137377409	137377420	5.4518	0	0.0000	0.6337	SGL	SGL	STRUCTURAL_VARIANT	0	0.0000	137377409	137377409	1.9971	3.4547
chr2	137377421	141088564	4.9606	2075	0.5600	0.5963	SGL	DEL	BAF_WEIGHTED	3547	0.3619	137377421	137377421	2.0027	2.9579
chr2	141088565	141138647	3.6694	3	0.5109	0.5466	DEL	DEL	BAF_WEIGHTED	47	0.3457	141088565	141088565	1.6636	2.0058
chr2	141138648	141146163	3.6070	0	0.0000	0.5561	DEL	DEL	BAF_WEIGHTED	7	0.3344	141138648	141138648	1.6011	2.0058
chr2	141146164	141150132	4.8015	1	0.5161	0.5483	DEL	DEL	BAF_WEIGHTED	3	0.3950	141146164	141146164	2.1687	2.6328
chr2	141150133	141150541	3.3724	0	0.0000	0.5536	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	141150133	141150133	1.5053	1.8671
chr2	141150542	141667329	4.5766	458	0.5556	0.5920	DEL	DEL	BAF_WEIGHTED	506	0.3541	141150542	141150542	1.8671	2.7096
chr2	141667330	142085430	3.7382	243	0.5507	0.5914	DEL	DEL	BAF_WEIGHTED	410	0.3471	141667330	141667330	1.5275	2.2107
chr2	142085431	147969722	4.7830	2194	0.5561	0.5912	DEL	DEL	BAF_WEIGHTED	5637	0.3642	142085431	142085431	1.9551	2.8279
chr2	147969723	147985395	3.9880	11	0.5217	0.5015	DEL	DEL	BAF_WEIGHTED	15	0.3504	147969723	147969723	1.9880	2.0000
chr2	147985396	158208215	4.8620	5956	0.5541	0.5872	DEL	DEL	BAF_WEIGHTED	9617	0.3758	147985396	147985396	2.0072	2.8548
chr2	158208216	158433867	4.1883	235	0.5366	0.5225	DEL	DEL	BAF_WEIGHTED	184	0.3717	158208216	158208216	2.0000	2.1883
chr2	158433868	159700391	4.8912	906	0.5529	0.5855	DEL	DEL	BAF_WEIGHTED	1167	0.3976	158433868	158433868	2.0274	2.8638
chr2	159700392	175328077	4.8920	7555	0.5547	0.5841	DEL	INV	BAF_WEIGHTED	14806	0.3822	159700392	159700392	2.0343	2.8576
chr2	175328078	175964258	3.8174	316	0.5403	0.5239	INV	DUP	BAF_WEIGHTED	565	0.3917	175328078	175328078	1.8174	2.0000
chr2	175964259	183836065	4.8949	4760	0.5534	0.5862	DUP	INV	BAF_WEIGHTED	7389	0.3767	175964259	175964259	2.0255	2.8693
chr2	183836066	184430259	3.6233	661	0.5469	0.5513	INV	DEL	BAF_WEIGHTED	546	0.3437	183836066	183836066	1.6258	1.9975
chr2	184430260	184440153	2.6286	0	0.0000	0.7599	DEL	DEL	BAF_WEIGHTED	9	0.3328	184430260	184430260	0.6311	1.9975
chr2	184440154	186094329	3.6286	245	0.5375	0.5512	DEL	SGL	BAF_WEIGHTED	1564	0.3414	184440154	184440154	1.6286	2.0000
chr2	186094330	186402000	2.7096	2	0.5984	0.7075	SGL	NONE	BAF_WEIGHTED	281	0.3535	186094330	186094330	0.7927	1.9169
chr2	186402001	187545871	3.7046	8	0.5674	0.6219	NONE	BND	BAF_WEIGHTED	1102	0.3625	186401001	186403001	1.4007	2.3038
chr2	187545872	189701074	4.8196	929	0.5521	0.5845	BND	DEL	BAF_WEIGHTED	2041	0.3560	187545872	187545872	2.0024	2.8172
chr2	189701075	189841519	4.1833	88	0.5436	0.5219	DEL	DEL	BAF_WEIGHTED	129	0.3702	189701075	189701075	2.0000	2.1833
chr2	189841520	190069047	4.8731	130	0.5632	0.6021	DEL	DUP	BAF_WEIGHTED	211	0.3664	189841520	189841520	1.9390	2.9341
chr2	190069048	208168760	3.6868	6624	0.5446	0.5456	DUP	BND	BAF_WEIGHTED	17084	0.3859	190069048	190069048	1.6752	2.0116
chr2	208168761	212552126	3.7016	3355	0.5463	0.5405	BND	BND	BAF_WEIGHTED	4098	0.3608	208168761	208168761	1.7010	2.0006
chr2	212552127	220048896	2.0946	2939	0.7039	0.9959	BND	DEL	BAF_WEIGHTED	7065	0.4185	212552127	212552127	0.0087	2.0859
chr2	220048897	220115972	1.1340	43	0.6167	0.9289	DEL	DEL	BAF_WEIGHTED	66	0.4211	220048897	220048897	0.0806	1.0534
chr2	220115973	227779078	2.0626	4391	0.7019	0.9954	DEL	DUP	BAF_WEIGHTED	7384	0.3930	220115973	220115973	0.0095	2.0531
chr2	227779079	227929134	3.0143	229	0.7447	0.9885	DUP	DUP	BAF_WEIGHTED	147	0.4080	227779079	227779079	0.0347	2.9796
chr2	227929135	242193529	2.1052	8548	0.7042	0.9945	DUP	TELOMERE	BAF_WEIGHTED	12592	0.4557	227929135	227929135	0.0116	2.0937
chr3	1	7906520	4.0222	5734	0.5406	0.5047	TELOMERE	DEL	BAF_WEIGHTED	7358	0.3838	1	1	1.9923	2.0299
chr3	7906521	8020136	3.0142	0	0.0000	0.6734	DEL	DEL	BAF_WEIGHTED	108	0.3976	7906521	7906521	0.9843	2.0299
chr3	8020137	11566755	4.1237	2004	0.5383	0.5264	DEL	DEL	BAF_WEIGHTED	3316	0.4531	8020137	8020137	1.9531	2.1706
chr3	11566756	11698478	3.0828	29	0.5625	0.6235	DEL	DEL	BAF_WEIGHTED	127	0.4329	11566756	11566756	1.1607	1.9220
chr3	11698479	37949721	4.0372	16599	0.5399	0.5096	DEL	DUP	BAF_WEIGHTED	24614	0.3980	11698479	11698479	1.9797	2.0575
chr3	37949722	38022017	5.1457	79	0.5763	0.6208	DUP	DUP	BAF_WEIGHTED	66	0.4965	37949722	37949722	1.9513	3.1944
chr3	38022018	49042055	4.0575	5364	0.5399	0.5176	DUP	DEL	BAF_WEIGHTED	10243	0.4370	38022018	38022018	1.9572	2.1003
chr3	49042056	49081361	1.5954	12	0.7473	1.1889	DEL	DEL	BAF_WEIGHTED	38	0.4567	49042056	49042056	0.0000	1.5954
chr3	49081362	70719214	4.0894	10887	0.5402	0.5146	DEL	DUP	BAF_WEIGHTED	20356	0.4186	49081362	49081362	1.9852	2.1042
chr3	70719215	70796291	5.2231	0	0.0000	0.6199	DUP	DUP	BAF_WEIGHTED	69	0.3698	70719215	70719215	1.9852	3.2379
chr3	70796292	72315717	4.0854	806	0.5384	0.5111	DUP	SGL	BAF_WEIGHTED	1484	0.4228	70796292	70796292	1.9975	2.0879
chr3	72315718	77638000	4.8963	3508	0.5604	0.5974	SGL	NONE	BAF_WEIGHTED	4442	0.3820	72315718	72315718	1.9714	2.9249
chr3	77638001	84964843	3.9331	3203	0.5416	0.5155	NONE	SGL	BAF_WEIGHTED	6941	0.3502	77638001	77638001	1.9056	2.0275
chr3	84964844	87412651	4.8095	1114	0.5641	0.6040	SGL	SGL	BAF_WEIGHTED	2330	0.3469	84964844	84964844	1.9044	2.9051
chr3	87412652	92214015	5.7959	1333	0.6083	0.6644	SGL	CENTROMERE	BAF_WEIGHTED	2874	0.3550	87412652	87412652	1.9453	3.8506
chr3	92214016	114378674	5.8547	13188	0.6109	0.6677	CENTROMERE	DEL	BAF_WEIGHTED	19279	0.3702	92214016	92214016	1.9455	3.9092
chr3	114378675	114392167	3.9989	1	0.5395	0.5001	DEL	DEL	BAF_WEIGHTED	13	0.4056	114378675	114378675	1.9989	2.0000
chr3	114392168	116084847	5.7350	540	0.6071	0.6631	DEL	DEL	BAF_WEIGHTED	1637	0.3697	114392168	114392168	1.9320	3.8030
chr3	116084848	116115151	3.9996	2	0.6962	0.8434	DEL	DEL	BAF_WEIGHTED	21	0.3740	116084848	116084848	0.6265	3.3731
chr3	116115152	116549362	5.6259	105	0.6092	0.6668	DEL	DEL	BAF_WEIGHTED	401	0.3685	116115152	116115152	1.8745	3.7514
chr3	116549363	116740112	3.7781	115	0.7772	1.0007	DEL	DEL	BAF_WEIGHTED	183	0.3712	116549363	116549363	0.0000	3.7781
chr3	116740113	117032037	5.7260	174	0.6067	0.6626	DEL	DEL	BAF_WEIGHTED	278	0.3661	116740113	116740113	1.9319	3.7941
chr3	117032038	117214983	3.8311	92	0.5405	0.5220	DEL	DEL	BAF_WEIGHTED	174	0.3703	117032038	117032038	1.8311	2.0000
chr3	117214984	120070353	5.7126	1650	0.6058	0.6614	DEL	DEL	BAF_WEIGHTED	2726	0.3829	117214984	117214984	1.9345	3.7781
chr3	120070354	120081307	4.1536	3	0.6322	0.7277	DEL	DEL	BAF_WEIGHTED	9	0.3958	120070354	120070354	1.1311	3.0225
chr3	120081308	136300154	5.8673	9568	0.6055	0.6595	DEL	DEL	BAF_WEIGHTED	14465	0.4275	120081308	120081308	1.9980	3.8692
chr3	136300155	136529000	4.8000	83	0.6633	0.7652	DEL	NONE	BAF_WEIGHTED	202	0.3886	136300155	136300155	1.1272	3.6727
chr3	136529001	136760295	6.5377	59	0.7263	0.8301	NONE	DEL	BAF_WEIGHTED	224	0.3917	136529001	136529001	1.1105	5.4272
chr3	136760296	139251142	7.9431	1369	0.6863	0.7563	DEL	DEL	BAF_WEIGHTED	2266	0.4139	136760296	136760296	1.9360	6.0071
chr3	139251143	139254888	5.7958	2	0.6355	0.7056	DEL	DEL	BAF_WEIGHTED	2	0.5140	139251143	139251143	1.7065	4.0893
chr3	139254889	155896579	7.9466	10602	0.6864	0.7568	DEL	DEL	BAF_WEIGHTED	15688	0.3819	139254889	139254889	1.9324	6.0143
chr3	155896580	155961807	6.8992	35	0.6579	0.7266	DEL	DEL	BAF_WEIGHTED	61	0.3852	155896580	155896580	1.8865	5.0127
chr3	155961808	180942778	7.9953	14317	0.6875	0.7579	DEL	DEL	BAF_WEIGHTED	23524	0.3726	155961808	155961808	1.9357	6.0596
chr3	180942779	180953700	6.8707	1	0.7155	0.8096	DEL	DEL	BAF_WEIGHTED	10	0.3905	180942779	180942779	1.3082	5.5625
chr3	180953701	195925444	8.0564	10407	0.6884	0.7582	DEL	SGL	BAF_WEIGHTED	14095	0.4098	180953701	180953701	1.9477	6.1087
chr3	195925445	198295559	7.8071	1382	0.6893	0.7619	SGL	TELOMERE	BAF_WEIGHTED	1888	0.4376	195925445	195925445	1.8586	5.9485
chr4	1	258000	3.9340	100	0.6188	0.7087	TELOMERE	NONE	BAF_WEIGHTED	165	0.3999	1	1	1.1461	2.7879
chr4	258001	507000	3.1420	13	0.7167	0.9236	NONE	NONE	BAF_WEIGHTED	211	0.4076	258001	258001	0.2400	2.9020
chr4	507001	2536792	4.0977	1301	0.6364	0.7360	NONE	DEL	BAF_WEIGHTED	1370	0.5335	507001	507001	1.0816	3.0160
chr4	2536793	2876037	2.9433	98	0.5745	0.6506	DEL	DEL	BAF_WEIGHTED	297	0.4823	2536793	2536793	1.0284	1.9149
chr4	2876038	8036417	4.1797	5144	0.6375	0.7361	DEL	DEL	BAF_WEIGHTED	4259	0.4894	2876038	2876038	1.1030	3.0768
chr4	8036418	8072174	3.0077	47	0.7561	1.0087	DEL	DEL	BAF_WEIGHTED	33	0.5375	8036418	8036418	0.0000	3.0077
chr4	8072175	21168049	4.0626	10441	0.6353	0.7346	DEL	BND	BAF_WEIGHTED	11406	0.3995	8072175	8072175	1.0783	2.9842
chr4	21168050	24542668	4.0347	1558	0.6359	0.7370	BND	DEL	BAF_WEIGHTED	3190	0.3821	21168050	21168050	1.0613	2.9734
